step,epoch,batch_loss,running_mean,trailing_mean
614,1,0.190926,0.211352,0.154097
615,1,0.210906,0.211351,0.154655
616,1,0.157822,0.211264,0.15465
617,1,0.109891,0.2111,0.153849
618,1,0.121351,0.210954,0.153657
619,1,0.12262,0.210812,0.153147
620,1,0.146023,0.210707,0.15255
621,1,0.160762,0.210627,0.152768
622,1,0.182877,0.210582,0.153662
623,1,0.110836,0.210422,0.153713
624,1,0.092803,0.210234,0.153233
625,1,0.118203,0.210086,0.152752
626,1,0.112125,0.20993,0.152907
627,1,0.144434,0.209825,0.153141
628,1,0.138189,0.209711,0.15309
629,1,0.133067,0.209589,0.152974
630,1,0.177965,0.209539,0.153311
631,1,0.148259,0.209442,0.153327
632,1,0.240754,0.209492,0.154548
633,1,0.190001,0.209461,0.155083
634,1,0.110766,0.209305,0.154741
635,1,0.217798,0.209319,0.1556
636,1,0.116976,0.209173,0.155404
637,1,0.145374,0.209073,0.155506
638,1,0.210074,0.209075,0.156404
639,1,0.199196,0.209059,0.157193
640,1,0.174785,0.209006,0.157
641,1,0.069558,0.208788,0.156201
642,1,0.104288,0.208626,0.155979
643,1,0.138238,0.208516,0.155117
644,1,0.170645,0.208457,0.155357
645,1,0.121431,0.208322,0.155571
646,1,0.193102,0.208299,0.155215
647,1,0.147071,0.208204,0.155228
648,1,0.171112,0.208147,0.154747
649,1,0.170951,0.20809,0.15539
650,1,0.170945,0.208032,0.155576
651,1,0.101634,0.207869,0.155351
652,1,0.176783,0.207821,0.15493
653,1,0.125913,0.207696,0.154984
654,1,0.135884,0.207586,0.154554
655,1,0.161568,0.207516,0.154985
656,1,0.137914,0.20741,0.15405
657,1,0.135368,0.2073,0.154142
658,1,0.226298,0.207329,0.154619
659,1,0.127785,0.207208,0.154358
660,1,0.109911,0.207061,0.154123
661,1,0.22029,0.207081,0.154656
662,1,0.159823,0.207009,0.154451
663,1,0.132379,0.206897,0.154206
664,1,0.136269,0.20679,0.154209
665,1,0.152788,0.206709,0.15492
666,1,0.126616,0.206589,0.154582
667,1,0.066281,0.206379,0.1535
668,1,0.205874,0.206378,0.153774
669,1,0.183442,0.206344,0.153556
670,1,0.227422,0.206375,0.15441
671,1,0.232238,0.206414,0.155473
672,1,0.249885,0.206478,0.156176
673,1,0.139322,0.206379,0.1561
674,1,0.193738,0.20636,0.155612
675,1,0.112069,0.20622,0.154948
676,1,0.171208,0.206168,0.1552
677,1,0.216996,0.206184,0.156179
678,1,0.172496,0.206135,0.155596
679,1,0.134439,0.206029,0.155561
680,1,0.132178,0.20592,0.155043
681,1,0.143028,0.205828,0.153968
682,1,0.133692,0.205722,0.154289
683,1,0.116402,0.205592,0.1543
684,1,0.103696,0.205443,0.15387
685,1,0.24215,0.205496,0.153425
686,1,0.256849,0.205571,0.15436
687,1,0.175438,0.205527,0.155111
688,1,0.070827,0.205331,0.154189
689,1,0.137552,0.205233,0.153642
690,1,0.076424,0.205046,0.15306
691,1,0.141597,0.204954,0.152593
692,1,0.097879,0.2048,0.152173
693,1,0.163787,0.204741,0.152566
694,1,0.147188,0.204658,0.153088
695,1,0.128814,0.204548,0.152506
696,1,0.10235,0.204402,0.151532
697,1,0.140531,0.20431,0.15165
698,1,0.179473,0.204274,0.152501
699,1,0.218052,0.204294,0.152814
700,1,0.129473,0.204187,0.153104
701,1,0.120875,0.204068,0.152726
702,1,0.18231,0.204037,0.15295
703,1,0.128512,0.20393,0.152576
704,1,0.158252,0.203865,0.15271
705,1,0.161931,0.203806,0.152262
706,1,0.06769,0.203613,0.151572
707,1,0.277826,0.203718,0.152751
708,1,0.106162,0.20358,0.152304
709,1,0.104071,0.20344,0.151841
710,1,0.156488,0.203374,0.15256
711,1,0.164997,0.20332,0.152557
712,1,0.167762,0.20327,0.152853
713,1,0.19678,0.20326,0.153458
714,1,0.155654,0.203194,0.153105
715,1,0.14508,0.203113,0.152447
716,1,0.194314,0.2031,0.152812
717,1,0.087157,0.202939,0.152585
718,1,0.137168,0.202847,0.152743
719,1,0.117729,0.202729,0.152694
720,1,0.146495,0.20265,0.152698
721,1,0.092243,0.202497,0.152013
722,1,0.08643,0.202337,0.151049
723,1,0.139097,0.202249,0.151331
724,1,0.157887,0.202188,0.151982
725,1,0.10062,0.202048,0.151806
726,1,0.179158,0.202016,0.152477
727,1,0.19592,0.202008,0.152992
728,1,0.074788,0.201833,0.152358
729,1,0.125494,0.201728,0.152282
730,1,0.185857,0.201707,0.152361
